episode,junction,action,greedy_count,random_count
34,JN_north,1,59,74
34,JN_north,2,84,58
34,JS_south,0,34,33
34,JS_south,1,165,49
34,JS_south,2,75,44
34,JW_west,0,95,42
34,JW_west,1,62,62
34,JW_west,2,95,44
34,JE_east,0,117,45
34,JE_east,1,94,48
34,JE_east,2,56,40
35,J0_central,0,104,45
35,J0_central,1,118,48
35,J0_central,2,44,41
35,JN_north,0,64,39
35,JN_north,1,72,56
35,JN_north,2,117,52
35,JS_south,0,69,50
35,JS_south,1,118,39
35,JS_south,2,81,43
35,JW_west,0,77,45
35,JW_west,1,110,43
35,JW_west,2,83,42
35,JE_east,0,133,35
35,JE_east,1,113,37
35,JE_east,2,30,52
36,J0_central,0,91,64
36,J0_central,1,85,50
36,J0_central,2,74,36
36,JN_north,0,127,36
36,JN_north,1,79,46
36,JN_north,2,81,31
36,JS_south,0,97,43
36,JS_south,1,112,53
36,JS_south,2,51,44
36,JW_west,0,111,47
36,JW_west,1,89,48
36,JW_west,2,59,46
36,JE_east,0,143,35
36,JE_east,1,62,45
36,JE_east,2,62,53
37,J0_central,0,97,36
37,J0_central,1,64,37
37,J0_central,2,113,53
37,JN_north,0,98,41
37,JN_north,1,88,53
37,JN_north,2,86,34
37,JS_south,0,100,41
37,JS_south,1,117,51
37,JS_south,2,47,44
37,JW_west,0,165,48
37,JW_west,1,75,45
37,JW_west,2,20,47
37,JE_east,0,106,43
37,JE_east,1,104,50
37,JE_east,2,55,42
38,J0_central,0,122,48
38,J0_central,1,93,34
38,J0_central,2,46,57
38,JN_north,0,168,42
38,JN_north,1,9,43
38,JN_north,2,97,41
38,JS_south,0,125,54
38,JS_south,1,94,40
38,JS_south,2,45,42
38,JW_west,0,111,60
38,JW_west,1,92,43
38,JW_west,2,52,42
38,JE_east,0,115,42
38,JE_east,1,100,42
38,JE_east,2,50,51
39,J0_central,0,85,50
39,J0_central,1,114,38
39,J0_central,2,73,40
39,JN_north,0,93,40
39,JN_north,1,71,39
39,JN_north,2,109,48
39,JS_south,0,79,46
39,JS_south,1,126,32
39,JS_south,2,71,46
39,JW_west,0,168,38
39,JW_west,1,58,47
39,JW_west,2,51,38
39,JE_east,0,165,33
39,JE_east,1,80,53
39,JE_east,2,23,46
40,J0_central,0,91,34
40,J0_central,1,143,36
40,J0_central,2,53,43
40,JN_north,0,128,47
40,JN_north,1,28,38
40,JN_north,2,121,38
40,JS_south,0,91,42
40,JS_south,1,120,36
40,JS_south,2,74,37
40,JW_west,0,117,40
40,JW_west,1,128,48
40,JW_west,2,24,43
40,JE_east,0,126,36
40,JE_east,1,120,41
40,JE_east,2,37,40
41,J0_central,0,83,30
41,J0_central,1,116,41
41,J0_central,2,95,35
41,JN_north,0,117,41
41,JN_north,1,78,36
41,JN_north,2,95,33
41,JS_south,0,86,38
41,JS_south,1,149,34
41,JS_south,2,50,43
41,JW_west,0,156,30
41,JW_west,1,91,48
41,JW_west,2,38,37
41,JE_east,0,157,39
41,JE_east,1,80,40
41,JE_east,2,52,32
42,J0_central,0,62,32
42,J0_central,1,97,40
42,J0_central,2,136,33
42,JN_north,0,93,50
