time,junction_id,queue_length,avg_waiting_time
330.8,cluster6616421101_6616421102,6,6.64
330.8,cluster1646746616_6430722657_7263291410,1,2.8
330.8,cluster1156127277_5346644809,3,11.83
330.9,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.32
330.9,cluster1936499662_2629436073_621284871,12,2.18
330.9,cluster6616421101_6616421102,6,6.71
330.9,cluster1646746616_6430722657_7263291410,1,2.85
330.9,cluster1156127277_5346644809,3,11.93
331.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.41
331.0,cluster1936499662_2629436073_621284871,12,2.22
331.0,cluster6616421101_6616421102,6,6.78
331.0,cluster1646746616_6430722657_7263291410,1,2.9
331.0,cluster1156127277_5346644809,3,12.03
331.1,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.01
331.1,cluster1936499662_2629436073_621284871,12,2.26
331.1,cluster6616421101_6616421102,6,6.84
331.1,cluster1646746616_6430722657_7263291410,1,2.95
331.1,cluster1156127277_5346644809,3,12.13
331.2,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.6
331.2,cluster1936499662_2629436073_621284871,12,2.3
331.2,cluster6616421101_6616421102,6,6.91
331.2,cluster1646746616_6430722657_7263291410,1,3.0
331.2,cluster1156127277_5346644809,3,12.23
331.3,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.69
331.3,cluster1936499662_2629436073_621284871,12,2.34
331.3,cluster6616421101_6616421102,6,6.98
331.3,cluster1646746616_6430722657_7263291410,1,3.05
331.3,cluster1156127277_5346644809,3,12.33
331.4,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.79
331.4,cluster1936499662_2629436073_621284871,13,2.38
331.4,cluster6616421101_6616421102,6,7.04
331.4,cluster1646746616_6430722657_7263291410,1,3.1
331.4,cluster1156127277_5346644809,3,12.43
331.5,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.88
331.5,cluster1936499662_2629436073_621284871,13,2.34
331.5,cluster6616421101_6616421102,6,7.11
331.5,cluster1646746616_6430722657_7263291410,1,3.15
331.5,cluster1156127277_5346644809,3,12.53
331.6,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,9.98
331.6,cluster1936499662_2629436073_621284871,13,2.38
331.6,cluster6616421101_6616421102,6,7.18
331.6,cluster1646746616_6430722657_7263291410,1,3.2
331.6,cluster1156127277_5346644809,3,12.63
331.7,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,10.07
331.7,cluster1936499662_2629436073_621284871,13,2.42
331.7,cluster6616421101_6616421102,6,7.24
331.7,cluster1646746616_6430722657_7263291410,1,3.25
331.7,cluster1156127277_5346644809,3,12.73
331.8,cluster13437517362_4374680526_4374680531_5346620503_#2more,17,10.17
331.8,cluster1936499662_2629436073_621284871,13,2.55
331.8,cluster6616421101_6616421102,6,7.31
331.8,cluster1646746616_6430722657_7263291410,1,3.3
331.8,cluster1156127277_5346644809,3,12.83
